Weights,Prices,Capacity,Best picks,Best price
[31  5 49 13 49],[ 6 11 15 14  4],49,[1. 1. 0. 1. 0.],31.0
[31  5 14  3 12],[ 9  8 14 12  8],18,[0. 0. 1. 1. 0.],26.0
[39 42 32 38 29],[ 2  7  7 12 11],24,,0.0
[27 42 47 47 27],[15 15  7 19 19],35,[0. 0. 0. 0. 1.],19.0
[15 40  8 32 21],[ 8  8 13 12  9],43,[0. 0. 1. 1. 0.],25.0
[ 8 29 23 10 44],[ 6  7  1 18 12],55,[1. 1. 0. 1. 0.],31.0
[43  3 49 41 27],[ 1 12 15 17  5],91,[0. 1. 0. 1. 1.],34.0
[ 8  8 32 37 40],[14 17  3 14 10],74,[1. 1. 0. 1. 0.],45.0
[28  9 48 35 34],[12  1  3 15 13],78,[0. 1. 0. 1. 1.],29.0
[33  4 19 13 26],[ 2 19  9 11 19],39,[0. 1. 1. 1. 0.],39.0
[40 44 29 30 36],[18 11  8  8  7],16,,0.0
[15 20  3 11 28],[10 11  5  5  2],15,[1. 0. 0. 0. 0.],10.0
[38 16 45 28 28],[ 6 13  2 19 12],50,[0. 1. 0. 1. 0.],32.0
[32 22 27 18 42],[13 16 13 12  8],91,[1. 1. 1. 0. 0.],42.0
[42 49 21 42  1],[11  3  1 16 16],79,[0. 0. 1. 1. 1.],33.0
[15 18 17 45 36],[19  6  5  3 14],70,[1. 1. 0. 0. 1.],39.0
[16 47 27 47 48],[13  7 14 19  8],90,[1. 0. 1. 1. 0.],46.0
[ 5 19 42 34 43],[ 4 18  9  8 17],93,[1. 1. 0. 0. 1.],39.0
[38 25 24 15 28],[ 5 19  4 19 12],46,[0. 1. 0. 1. 0.],38.0
[45  1 17  9 36],[ 4 12 19 10 13],16,[0. 1. 0. 1. 0.],22.0
[29 17 23 16  8],[ 3 16 14 18 18],95,[1. 1. 1. 1. 1.],69.0
[44 20  3 14 17],[13 15 16 13 16],49,[0. 1. 1. 0. 1.],47.0
[48  1  6 22 31],[ 5 10  7  5  8],84,[0. 1. 1. 1. 1.],30.0
[10 39 39 42 19],[12  1 16  4 12],23,[1. 0. 0. 0. 0.],12.0
[30 17  1  6 32],[10  3 19 12  5],39,[1. 0. 1. 1. 0.],41.0
[45  1 46 25 23],[18 18 19 14 10],56,[0. 1. 0. 1. 1.],42.0
[ 8 27  5 17 35],[5 9 2 9 9],28,[1. 0. 0. 1. 0.],14.0
[15 20  4 49 20],[18 16 12 17 12],95,[1. 1. 1. 1. 0.],63.0
[34 13 21 17 28],[10  1  4 11  9],37,[0. 1. 0. 1. 0.],12.0
[36 12 13  4 31],[ 7 15  3 10 14],71,[0. 1. 1. 1. 1.],42.0
[13 47 49 42 43],[11  6 10  5  2],93,[1. 0. 1. 0. 0.],21.0
[49 44 42  6 17],[18  1 10  6 11],75,[1. 0. 0. 1. 1.],35.0
[17 23 16 42  1],[12  9  2  5 15],68,[1. 1. 1. 0. 1.],38.0
[43  4 16 36 18],[13 18 12 17 15],95,[0. 1. 1. 1. 1.],62.0
[ 5 39 22 16 35],[ 4  3 11  8  6],94,[1. 0. 1. 1. 1.],29.0
[14 47 31  7 44],[6 7 8 1 8],23,[1. 0. 0. 1. 0.],7.0
[49 14 28 17 19],[ 9 14  9  9 10],94,[0. 1. 1. 1. 1.],42.0
[36 45 10 35 47],[18 11 16 13  9],51,[1. 0. 1. 0. 0.],34.0
[22 29  5 34 25],[12  4 11 16  8],74,[1. 0. 1. 1. 0.],39.0
[ 5 25  7 39  9],[ 3  7  8 11  3],83,[1. 1. 1. 1. 0.],29.0
[36 16 43 39 35],[ 9 11 15 17 15],45,[0. 0. 0. 1. 0.],17.0
[38 20  9 35 12],[ 6 15  1 16 12],66,[0. 1. 1. 1. 0.],32.0
[17 15 27 34 23],[17 11 15  1  5],33,[1. 1. 0. 0. 0.],28.0
[ 3 23 34 34  5],[ 4 12  6 10 10],22,[1. 0. 0. 0. 1.],14.0
[ 5 21 48 31 42],[ 6  2 11 13  1],39,[1. 0. 0. 1. 0.],19.0
[19 10 19 49 36],[12  5  7 17  8],78,[1. 1. 0. 1. 0.],34.0
[30 24 29 11 46],[ 7  9  7 17  5],95,[1. 1. 1. 1. 0.],40.0
[18 37 13 30 28],[15 12 18  7 12],96,[1. 1. 1. 0. 1.],57.0
[24 19 45 35 23],[14  8 10  7  8],85,[1. 1. 0. 0. 1.],30.0
[ 1 21 29 42 31],[ 1 15  1 10 13],16,[1. 0. 0. 0. 0.],1.0
[37 44 36 31 18],[17  9  7  5  5],92,[1. 0. 1. 0. 1.],29.0
[27 46 19 35 25],[12  7 17 16 18],71,[1. 0. 1. 0. 1.],47.0
[ 9 17 27 47 44],[ 1 13 17 17 11],63,[1. 1. 1. 0. 0.],31.0
[20 17 23 11 42],[ 4 18  6 14  3],36,[0. 1. 0. 1. 0.],32.0
[ 6  8 20 22 18],[18 15 12 18 18],96,[1. 1. 1. 1. 1.],81.0
[41  5  4 24 15],[ 7 19  7  4  8],15,[0. 1. 1. 0. 0.],26.0
[23 14 32 47  8],[ 5  6  5 16 13],50,[1. 1. 0. 0. 1.],24.0
[24 21 32 40 28],[ 8 13  2  4 11],29,[0. 1. 0. 0. 0.],13.0
[25  4 28 42 41],[ 6 12  5  9 14],81,[1. 1. 0. 0. 1.],32.0
[12  2  3  6 44],[13 14  9  5  6],35,[1. 1. 1. 1. 0.],41.0
[15 27 17 11 21],[14 18  3  1 15],81,[1. 1. 1. 0. 1.],50.0
[20 12 27 38 35],[ 4 16 13 12 10],84,[0. 1. 1. 1. 0.],41.0
[19 36 46 38 21],[17  9 16  9 15],46,[1. 0. 0. 0. 1.],32.0
[15 34 17 29 47],[ 7 19  8  6  2],19,[0. 0. 1. 0. 0.],8.0
[16 49 37 21 38],[14  9  5  3 19],60,[1. 0. 0. 0. 1.],33.0
[34 16 33 35 19],[ 9  9  2 12 13],17,[0. 1. 0. 0. 0.],9.0
[25 28  1 39  9],[2 7 2 1 1],31,[0. 1. 1. 0. 0.],9.0
[ 1 14 17 21 33],[ 2 15 17  4 14],47,[1. 1. 1. 0. 0.],34.0
[30 24 19 31 29],[ 3  7 14 16 18],78,[0. 1. 1. 0. 1.],39.0
[ 1 34 16 49 27],[10 18  6 12 18],92,[1. 1. 1. 0. 1.],52.0
[46 28 30 43  4],[16 19 16 16 15],69,[0. 1. 1. 0. 1.],50.0
[16 34 29  6 48],[18 18  4  6 17],20,[1. 0. 0. 0. 0.],18.0
[ 4  2 20 18 40],[ 4 18  7  1 15],64,[0. 1. 1. 0. 1.],40.0
[39 46 34 16  7],[10 14 19  9  5],67,[0. 0. 1. 1. 1.],33.0
[40 26 13 35 47],[13 17 18 16  1],84,[0. 1. 1. 1. 0.],51.0
[30 36 19 29 13],[15  4  5  4 19],80,[1. 0. 1. 0. 1.],39.0
[10 21 42 25 17],[ 9  6  3  4 17],55,[1. 1. 0. 0. 1.],32.0
[18 33 25 36 10],[19 18  4 16  2],15,[0. 0. 0. 0. 1.],2.0
[11 39 48  2 24],[16  1  9 18 17],47,[1. 0. 0. 1. 1.],51.0
[35 26 44  5 13],[18  1  7  2 17],70,[1. 0. 0. 1. 1.],37.0
[47 22 36 15 21],[15  4  6  2  5],36,[0. 0. 0. 1. 1.],7.0
[35 41 42 25 42],[ 5  1  3 13 10],44,[0. 0. 0. 1. 0.],13.0
[22 19 45 27 49],[12  8  5  8 13],76,[1. 1. 0. 1. 0.],28.0
[ 8 22  3  3 20],[ 2 18  7 13 14],34,[0. 1. 1. 1. 0.],38.0
[20 10 36 36 44],[ 9 18 13 11 12],28,[0. 1. 0. 0. 0.],18.0
[42 13 16  2 34],[ 3  4  5 11  2],34,[0. 1. 1. 1. 0.],20.0
[10 49 26 45 10],[19  8 10  1  9],83,[1. 0. 1. 0. 1.],38.0
[27 21 25 13 39],[10 16 15 17  4],34,[0. 1. 0. 1. 0.],33.0
[16 42 38 38  5],[14  9 10 18 17],40,[1. 0. 0. 0. 1.],31.0
[15  4 36  6 41],[ 5  1  3 10  7],42,[1. 1. 0. 1. 0.],16.0
[ 1 41 47  7 26],[ 1  6 15  6 16],86,[1. 0. 1. 1. 1.],38.0
[45 41 17 14 44],[14 12 17 18  9],60,[0. 0. 1. 1. 0.],35.0
[15 43 36 35 23],[ 9 10 16 15  7],44,[0. 0. 1. 0. 0.],16.0
[ 7 44 15  8 21],[ 7  1  3 15  6],87,[1. 0. 1. 1. 1.],31.0
[14  1  2  4  5],[ 3  2  9 15 10],72,[1. 1. 1. 1. 1.],39.0
[26  4 47 40 35],[17  1  8  1 18],31,[1. 1. 0. 0. 0.],18.0
[24 48  4 27 18],[14 17 10  3 13],54,[1. 0. 1. 0. 1.],37.0
[ 3  2 22 20  1],[13  8 14 14  4],53,[1. 1. 1. 1. 1.],53.0
[19 41 40 23 12],[4 2 1 5 3],70,[1. 0. 0. 1. 1.],12.0
[24 34 13 24 49],[16 19 12 13  9],92,[1. 1. 0. 1. 0.],48.0
[14  2 43 31 16],[ 7 11  1  2 19],93,[1. 1. 0. 1. 1.],39.0
[10  4  3 48 18],[12  3 10  5 11],77,[1. 1. 1. 0. 1.],36.0
[43  8 44 19 24],[ 9 18  2 18 19],36,[0. 1. 0. 0. 1.],37.0
[14 46  1 33 37],[ 1 10 14  3  6],80,[0. 1. 1. 1. 0.],27.0
[48 14 15 11  1],[ 8 13  6 16 12],52,[0. 1. 1. 1. 1.],47.0
[11 38 30 46 24],[ 4  6 12 11  2],22,[1. 0. 0. 0. 0.],4.0
[29  4 28 25  1],[13 13  3 18 12],58,[0. 1. 1. 1. 1.],46.0
[ 9  7 29  5 22],[ 6  8  9  7 13],59,[1. 1. 0. 1. 1.],34.0
[48 28 42 13 37],[19  9  3  3  8],75,[1. 0. 0. 1. 0.],22.0
[13 30  7 28 45],[ 9 11  6  8  7],82,[1. 1. 1. 1. 0.],34.0
[15 37 41 29 24],[ 8 15  9  3  3],44,[0. 1. 0. 0. 0.],15.0
[ 8 42 33 17  4],[ 8 19 14  4  2],20,[1. 0. 0. 0. 1.],10.0
[43  6  8  8 23],[ 8 18  7  1 14],68,[0. 1. 1. 1. 1.],40.0
[34 39 41 45  7],[19 14  2 14  4],23,[0. 0. 0. 0. 1.],4.0
[33 24 11 45 23],[ 8  5  1 10 16],72,[0. 0. 0. 1. 1.],26.0
[ 9 18 14 31 35],[11  1 16  1 17],76,[1. 1. 1. 0. 1.],45.0
[43  7 33  3 11],[ 8 16 13 17  3],77,[0. 1. 1. 1. 1.],49.0
[20 38 49 19 40],[12  2  3  8 12],74,[1. 0. 0. 0. 1.],24.0
[21  5 35  3 26],[13  8  7 15 14],52,[1. 0. 0. 1. 1.],42.0
[34 19 16  6  3],[11  3 19 11 15],66,[1. 0. 1. 1. 1.],56.0
[14 48 32  1 34],[11  9  1 18  9],33,[1. 0. 0. 1. 0.],29.0
[ 5 18 12 38 41],[ 9 16 18 19  8],58,[1. 0. 1. 1. 0.],46.0
[ 9 35 39 21 10],[ 1 19 14 14 10],63,[0. 1. 0. 1. 0.],33.0
[ 6 24 22 21  5],[19 15 11  6  4],68,[1. 1. 1. 0. 1.],49.0
[ 6 41 16  3 20],[ 8 16  4  9  8],42,[1. 0. 0. 1. 1.],25.0
[12 30 23 16 12],[ 4 14  9 14 13],63,[0. 1. 0. 1. 1.],41.0
[43  6 45 30  8],[12  1 12  4  7],84,[1. 0. 0. 1. 1.],23.0
[35 23  7 35 23],[11 12  7 19  6],89,[0. 1. 1. 1. 1.],44.0
[ 6  6 23 27  5],[7 8 3 1 9],19,[1. 1. 0. 0. 1.],24.0
[15 18 34 19 31],[6 3 1 8 2],83,[1. 1. 0. 1. 1.],19.0
[30 17 16 45 18],[14  9  2  4 16],89,[1. 1. 1. 0. 1.],41.0
[ 2 47 31 47 49],[12 12  8  9 15],80,[1. 1. 1. 0. 0.],32.0
[11 31 34 26  3],[ 7 13  6  4 10],94,[1. 1. 1. 0. 1.],36.0
[48 29 33 12  1],[ 5 18 17 18  8],55,[0. 1. 0. 1. 1.],44.0
[16 44  6 48 42],[15  9 14  5  3],50,[1. 0. 1. 0. 0.],29.0
[39 13 47 19 39],[12 10  8 14 17],40,[0. 1. 0. 1. 0.],24.0
[47 31 21 27 26],[ 2  6  7  1 13],96,[0. 1. 1. 0. 1.],26.0
[49 48 34 24  4],[11 13 18  8 15],86,[0. 1. 1. 0. 1.],46.0
[34 23 31 27 22],[16  4 11 18 10],60,[0. 0. 1. 1. 0.],29.0
[26 45 39 36 41],[ 3  5  1 10  7],81,[0. 0. 0. 1. 1.],17.0
[39 29  6 38  3],[16  4  8 16  8],97,[1. 0. 1. 1. 1.],48.0
[44 33 39 24 32],[10 14 18  1  3],53,[0. 0. 1. 0. 0.],18.0
[49 30 35 22 17],[ 7 16  7 19 10],21,[0. 0. 0. 0. 1.],10.0
[ 6 20  7 22 35],[18  9 18 19  6],98,[1. 1. 1. 1. 1.],70.0
[ 5 44 34 45  5],[15  9  3 16 14],32,[1. 0. 0. 0. 1.],29.0
[13 34 15  2 36],[ 2 17 16 16  4],74,[1. 1. 1. 1. 0.],51.0
[32  7 29 40 27],[ 7 17  5 17 16],99,[0. 1. 0. 1. 1.],50.0
[38 11 16 42  7],[ 2 15  4  4  4],19,[0. 1. 0. 0. 1.],19.0
[45 48 23 17  8],[12 13  6  8  4],46,[0. 0. 1. 1. 0.],14.0
[33 14 37 38 43],[19 19 18 14  8],82,[1. 1. 0. 0. 0.],38.0
[12 49 38 24 29],[ 8 18 11 19  3],97,[1. 1. 0. 1. 0.],45.0
[ 2 49 22  2 29],[13 18  8  5  7],88,[1. 1. 1. 1. 0.],44.0
[48  6 13 35 18],[ 4  8  7  1 14],77,[0. 1. 1. 1. 1.],30.0
[20 44 36 17 18],[15  2  1 14 15],87,[1. 0. 0. 1. 1.],44.0
[ 8 19 12 13 22],[ 9 13 17 15 11],63,[1. 1. 1. 1. 0.],54.0
[11 28 46 33 39],[18  6  1 17  7],84,[1. 0. 0. 1. 1.],42.0
[17 31 47 12  1],[13 16  7  8  7],54,[1. 1. 0. 0. 1.],36.0
[20 29  8 30 27],[ 1 10 14 18  7],25,[0. 0. 1. 0. 0.],14.0
[15 47 36 33 35],[19  5  9 10 17],33,[1. 0. 0. 0. 0.],19.0
[34 29  1 29 27],[12  5 14  8 12],15,[0. 0. 1. 0. 0.],14.0
[23 46  2 26 11],[12  4  5 17  9],48,[0. 0. 1. 1. 1.],31.0
[ 4 22 32 25  8],[ 8  9 16 19 12],52,[1. 0. 0. 1. 1.],39.0
[33  2 36  3 27],[ 6  2 18  8  4],22,[0. 1. 0. 1. 0.],10.0
[45 20 25 26 20],[11 17  7  1  8],26,[0. 1. 0. 0. 0.],17.0
[36 12 14 23 25],[ 4 15 17 12  7],21,[0. 0. 1. 0. 0.],17.0
[21 36  7 31  1],[ 1  7 12  1 16],62,[0. 1. 1. 0. 1.],35.0
[27 28 18 40 20],[10  1  3 15  3],86,[1. 0. 1. 1. 0.],28.0
[32 35 38 37 33],[18  1  5  6  6],73,[1. 0. 0. 1. 0.],24.0
[18 17 20 10 49],[16  5  4 13  2],54,[1. 1. 0. 1. 0.],34.0
[14 17 17 26 21],[ 7  5  4 13 13],64,[1. 0. 0. 1. 1.],33.0
[38 45 31 48 36],[13 10  9  7  9],95,[1. 1. 0. 0. 0.],23.0
[38  8 26 42 11],[ 6 15 13 14 11],77,[0. 1. 1. 1. 0.],42.0
[14 38  4 35  5],[ 5  7 17 13  7],54,[0. 0. 1. 1. 1.],37.0
[49 35 41 12 30],[18 16  1 18  3],47,[0. 1. 0. 1. 0.],34.0
[14  4  5 49  9],[14 18  1  8  4],78,[1. 1. 0. 1. 1.],44.0
[32  3 38 35 23],[ 6 16  3 14  7],29,[0. 1. 0. 0. 1.],23.0
[34 45 37 18 32],[19 13 12  9  3],46,[1. 0. 0. 0. 0.],19.0
[21 41 49 25 13],[18  6  1 16  6],59,[1. 0. 0. 1. 1.],40.0
[ 5 38 10 26 11],[11 11  1 19  5],96,[1. 1. 1. 1. 1.],47.0
[ 4 33 27 48 18],[16  1  6 13  7],49,[1. 0. 1. 0. 1.],29.0
[43 30 18  4 20],[12 18 14  1 14],29,[0. 0. 1. 1. 0.],15.0
[18 22 25 43 31],[10 12 17 16  9],32,[0. 0. 1. 0. 0.],17.0
[47  8  3 11 37],[12 14 14 11  6],48,[0. 1. 1. 1. 0.],39.0
[28 29  3 43 44],[12  5 10  5 15],76,[1. 0. 1. 0. 1.],37.0
[44  7 37 22 10],[ 1  1  9  3 18],65,[0. 1. 1. 0. 1.],28.0
[ 5 46 30 21 49],[19 16  8 14 12],95,[1. 1. 0. 1. 0.],49.0
[29 12 13  7 28],[ 9  4 17  4 11],39,[0. 1. 1. 1. 0.],25.0
[ 2 42 23 28 39],[ 2  5  3  1 16],82,[0. 1. 0. 0. 1.],21.0
[18 25 28  2 39],[ 8  3  2  5 13],44,[0. 0. 0. 1. 1.],18.0
[20 13 40 39  1],[ 3 12  4  7  2],96,[0. 1. 1. 1. 1.],25.0
[ 8 16 22 12 39],[18 15 13 10  4],40,[1. 1. 0. 1. 0.],43.0
[20 36 22  1 39],[ 6 10  1 15  8],24,[1. 0. 0. 1. 0.],21.0
[ 4 37 26  7 29],[ 5 15 10  9 11],57,[1. 1. 0. 1. 0.],29.0
[28  3 19 15 32],[14  3 13  4 18],24,[0. 1. 1. 0. 0.],16.0
[23 34 27 39 35],[14  6 12 14  1],24,[1. 0. 0. 0. 0.],14.0
[49 45 32 30 17],[10 16 17  4  8],87,[0. 1. 1. 0. 0.],33.0
[29 26 45 38 18],[6 4 6 3 3],60,[1. 1. 0. 0. 0.],10.0
[45 14 27 19  7],[15 15  7 18 12],70,[0. 1. 1. 1. 1.],52.0
[46  4 20 23 11],[14  7  5 16  3],74,[1. 1. 0. 1. 0.],37.0
[ 2 13 49 47 27],[12 12 13  4 18],96,[1. 1. 1. 0. 1.],55.0
[11 24 15  4 49],[ 5 13 14  4 10],15,[0. 0. 1. 0. 0.],14.0
[ 3 36 15 15 10],[19  8  5 11 16],25,[1. 0. 0. 0. 1.],35.0
[32 35  2 19 37],[ 8  2 11 17 16],89,[0. 0. 1. 1. 1.],44.0
[ 4 35 32 46 17],[ 4  6 19  2  3],26,[1. 0. 0. 0. 1.],7.0
[ 5 38 22 26 32],[15  8 13  8 17],97,[1. 1. 1. 0. 1.],53.0
[44 35 12 10 38],[19  7  7  6 10],15,[0. 0. 1. 0. 0.],7.0
[38 36 14 22 36],[11  9 16 15 10],99,[1. 0. 1. 1. 0.],42.0
[46 18 22 18 41],[15  9 10  8  4],54,[0. 1. 1. 0. 0.],19.0
[ 6  5 38 20 30],[12  5 11  3  9],82,[1. 1. 1. 0. 1.],37.0
[14 45 25 41 48],[19 15 18  4 12],22,[1. 0. 0. 0. 0.],19.0
[25  7 25  1 21],[15  3  9 15  9],37,[1. 1. 0. 1. 0.],33.0
[38  7  6 34 26],[18  6  8  3 15],47,[0. 1. 1. 0. 1.],29.0
[24 33 47 37 22],[16  3 16 18 11],68,[1. 0. 0. 1. 0.],34.0
[16 13 18 47 45],[10  5 15  5  4],97,[1. 1. 1. 1. 0.],35.0
[25 32 23 18 28],[10 19  6  5 13],31,[0. 0. 0. 0. 1.],13.0
[ 6 19 49 15 17],[ 5 10  5  4 19],60,[1. 1. 0. 1. 1.],38.0
[39 23 38 25 34],[10 17 15 19  9],75,[0. 1. 0. 1. 0.],36.0
[35 48 42 34 14],[19  1 16  3 13],94,[1. 0. 1. 0. 1.],48.0
[20 34 24 36 17],[ 9 19  6  3 12],92,[1. 1. 0. 0. 1.],40.0
[20  7 41 37 48],[13 11  3  5  2],65,[1. 1. 0. 1. 0.],29.0
[ 9 28 30  8 24],[ 8  3  3  6 19],86,[1. 1. 0. 1. 1.],36.0
[18 10 21 43 29],[16  1  7 16  1],88,[1. 0. 1. 1. 0.],39.0
[30 49 43 34 37],[14 16  8  7 14],80,[1. 1. 0. 0. 0.],30.0
[18 32  3  8 41],[ 7 19 10  3 12],53,[1. 1. 1. 0. 0.],36.0
[ 2 29 38 49 12],[ 8 18 17 19  4],65,[1. 0. 0. 1. 1.],31.0
[47 29 34 39 21],[ 7 19 13  7 19],37,[0. 1. 0. 0. 0.],19.0
[13 22  5 20 47],[11  2 18  5  7],98,[1. 0. 1. 1. 1.],41.0
[42 37 16  1 14],[2 9 1 6 8],42,[0. 1. 0. 1. 0.],15.0
[ 4 12 22  4 26],[10 17  6  6 18],18,[1. 1. 0. 0. 0.],27.0
[ 8 26 10 47 38],[11 14 15 16 14],36,[0. 1. 1. 0. 0.],29.0
[13  2  3 20 49],[14  1  8  2 14],98,[1. 1. 1. 1. 1.],39.0
[21 27 22  9 17],[ 6  2  8 10 19],47,[1. 0. 0. 1. 1.],35.0
[30 16 35  4 18],[ 8  4  6  5 19],91,[1. 0. 1. 1. 1.],38.0
[ 9 22 37 19 47],[14  6  4 16 15],73,[1. 1. 0. 1. 0.],36.0
[45 47 27 35 24],[2 4 4 1 5],63,[0. 0. 1. 0. 1.],9.0
[ 2 11 11 25  6],[3 5 7 9 7],82,[1. 1. 1. 1. 1.],31.0
[14 49 13  1 18],[12  7 10 13  3],48,[1. 0. 1. 1. 1.],38.0
[ 5 39 10 17 18],[ 5 13  1 17  8],15,[1. 0. 1. 0. 0.],6.0
[19  5  1  4 48],[ 8  1 19 19  6],26,[1. 0. 1. 1. 0.],46.0
[31 14 11 12 49],[10 14 11 10  5],34,[0. 1. 1. 0. 0.],25.0
[35  7 43 22  3],[ 5  7  5 13 11],22,[0. 1. 0. 0. 1.],18.0
[42 28 32 38 28],[16 10  8  4 18],25,,0.0
[16 20 25 40  1],[14  6  9  8 16],74,[1. 1. 1. 0. 1.],45.0
[23 43 10 22 28],[6 3 6 2 6],39,[1. 0. 1. 0. 0.],12.0
[26 24 25 17 42],[ 4  7  2  6 11],55,[0. 1. 0. 1. 0.],13.0
[30 15 32 49 33],[ 7  6  1  7 17],59,[0. 1. 0. 0. 1.],23.0
[ 2 46 25 14 33],[ 2 17  5  1  1],69,[1. 1. 0. 1. 0.],20.0
[17 28  3 14 28],[16 18  1  5  6],81,[1. 1. 1. 0. 1.],41.0
[31  5 30 36  7],[ 4 12 18 19 18],91,[0. 1. 1. 1. 1.],67.0
[32 27 11 21 31],[18 13 12  8  4],88,[1. 1. 1. 0. 0.],43.0
[49  8 33 15 49],[19 10  1 13  4],77,[1. 1. 0. 1. 0.],42.0
[46 17 28 39 28],[ 9 17 14 16  2],94,[0. 1. 1. 1. 0.],47.0
[43 32  1 26 45],[ 9  1 16 11  3],69,[0. 1. 1. 1. 0.],28.0
[36 46 34 21 47],[14 17 18 10  9],39,[0. 0. 1. 0. 0.],18.0
[47 16 42  2 45],[ 2 11 13 13 16],43,[0. 1. 0. 1. 0.],24.0
[27  8  3 33 15],[18  4  1 16 12],58,[1. 1. 1. 0. 1.],35.0
[ 5  1 46 37 24],[ 6 11 10  1 10],43,[1. 1. 0. 0. 1.],27.0
[21 33 12  3 31],[15  6 14  6 17],63,[1. 0. 0. 1. 1.],38.0
[39  1 15  8 12],[19 19  8  3  4],21,[0. 1. 1. 0. 0.],27.0
[31 19 17 30 29],[ 4  9  8  8 17],21,[0. 1. 0. 0. 0.],9.0
[41 31 27 21 26],[17  4  2 14 14],95,[1. 0. 0. 1. 1.],45.0
[34 12 42 26 20],[19 10  7 17 19],16,[0. 1. 0. 0. 0.],10.0
[24 36 20 19 40],[19 13 19 17 10],15,,0.0
[ 5  4 49  5  2],[12 18 16  6 17],30,[1. 1. 0. 1. 1.],53.0
[49 17 13 46  3],[12 16  4  1 10],76,[1. 1. 0. 0. 1.],38.0
[34 47 16 16 25],[12 16 10 17 10],29,[0. 0. 0. 1. 0.],17.0
[46 13 12 48 35],[7 3 3 4 3],58,[1. 0. 1. 0. 0.],10.0
